ProductName,Listing Price,Sale Price,Discount,Brand (Adidas=1 Nike=2),Rating,Reviews
2 Nike SB Chron Solarsoft Premium,2499,5995,0,2,0,0
2 NikeCourt Air Max Vapor Wing Premium,2499,7995,0,2,0,0
2 Nike Phantom Vision 2 Elite Dynamic Fit FG,2499,22995,0,2,5,1
2 Nike Air Max 270 SE,2499,13995,0,2,5,1
2 Nike Zoom KD11 EP,2499,14995,0,2,0,0
2 Nike React Metcon AMP,2499,13995,0,2,0,0
2 Nike Air Max 95 Premium,2499,14995,0,2,0,0
2 Nike Benassi JDI,2499,2795,0,2,3,5
2 Nike Tiempo Legend 8 Academy IC,2499,6495,0,2,5,1
2 Nike Mercurial Vapor 13 Academy MG,2499,7495,0,2,0,0
2 Nike React Presto Premium,2499,10995,0,2,5,1
2 Zoom Freak 1 Employee of the Month',2499,9995,0,2,5,1
2 Nike ZoomX Vaporfly NEXT%,2699,19995,0,2,4.7,45
2 Nike SB Check,2699,5495,0,2,5,1
2 Nike Free RN Flyknit 3.0 2020,2699,10995,0,2,0,0
2 Nike iSPA React,2699,13995,0,2,4.6,14
2 NikeCourt Air Zoom Zero,2699,11995,0,2,4.3,10
2 Nike Air Force Max II,2699,13995,0,2,4.5,2
2 Nike Air Max 1 Print,2699,12995,0,2,0,0
2 Nike Mercurial Superfly 7 Elite MDS FG,2699,24995,0,2,5,1
2 Nike Mercurial Vapor 13 Club IC,2699,4995,0,2,0,0
2 Nike Solarsoft,2699,1595,0,2,3.8,5
2 Nike Mercurial Vapor 13 Elite SE FG,2699,21995,0,2,0,0
2 Nike Air Max 720 BETRUE,2699,15995,0,2,5,1
2 Nike Air Force 1 Mid 07,2699,7595,0,2,4.5,13
2 Nike Air Max 2017,2699,15995,0,2,2.9,71
2 Nike EXP-X14 SE,2699,11995,0,2,5,2
2 NikeCourt Lite 2,2699,4995,0,2,0,0
2 Air Max 200 20,2699,10995,0,2,0,0
2 Nike x Undercover Air Max 720,2699,16995,0,2,4,3
2 Air Jordan 13 Retro,2699,15995,0,2,3.9,34
2 Kyrie 6 EP Chinese New Year',2799,10995,0,2,5,1
2 Nike Fly.By Mid,2799,4495,0,2,0,0
2 Nike Air Streak Lite,2799,8995,0,2,5,1
2 Nike Wildhorse 6,2799,9995,0,2,4.7,3
2 Nike Air Zoom Wildhorse 5,2799,8995,0,2,5,6
2 Nike Benassi JDI BETRUE,2799,4495,0,2,4.3,3
2 Kyrie 4,2799,10995,0,2,4.1,19
2 Air Jordan 5 Retro,2799,18995,0,2,4.6,8
2 Nike Drop-Type Premium,2799,6995,0,2,4,6
2 Jordan Modero 2 VP,2799,4495,0,2,0,0
